"","SPECIES","FAMILY","TAXONNAME","CONSUMER_GROUP","x"
"68","HAMM","Sphyrnidae","Sphyrnidae","PISCIVORE",4
"69","THAL","Scombridae","Thunnus albacares","PISCIVORE",1
"70","TROB","Carcharhinidae","Triaenodon obesus","PISCIVORE",1655
"71","TYCR","Belonidae","Tylosurus crocodilus","PISCIVORE",84
"72","VALO","Serranidae","Variola louti","PISCIVORE",566
"73","ACMT","Acanthuridae","Acanthurus mata","PLANKTIVORE",4
"74","ECNA","Echeneidae","Echeneis naucrates","PLANKTIVORE",8
"75","MAMA","Lutjanidae","Macolor macularis","PLANKTIVORE",755
"76","MANI","Lutjanidae","Macolor niger","PLANKTIVORE",1477
"77","MACO","Lutjanidae","Macolor sp","PLANKTIVORE",231
"78","MABI","Myliobatidae","Manta birostris","PLANKTIVORE",302
"79","NAAN","Acanthuridae","Naso annulatus","PLANKTIVORE",76
"80","NABR","Acanthuridae","Naso brevirostris","PLANKTIVORE",141
"81","NACA","Acanthuridae","Naso caesius","PLANKTIVORE",15
"82","NAHE","Acanthuridae","Naso hexacanthus","PLANKTIVORE",3739
"83","NALO","Acanthuridae","Naso lopezi","PLANKTIVORE",3
"84","NASP","Acanthuridae","Naso sp","PLANKTIVORE",300
"85","NAVL","Acanthuridae","Naso vlamingii","PLANKTIVORE",621
"86","SURG","Acanthuridae","Acanthuridae","PRIMARY",202
"87","ACDU","Acanthuridae","Acanthurus dussumieri","PRIMARY",28
"88","ACSP","Acanthuridae","Acanthurus sp","PRIMARY",27
"89","ACXA","Acanthuridae","Acanthurus xanthopterus","PRIMARY",53
"90","CACA","Scaridae","Calotomus carolinus","PRIMARY",6
"91","CEOC","Scaridae","Cetoscarus ocellatus","PRIMARY",151
"92","CHCH","Chanidae","Chanos chanos","PRIMARY",1360
"93","CHFN","Scaridae","Chlorurus frontalis","PRIMARY",74
"94","CHMC","Scaridae","Chlorurus microrhinos","PRIMARY",3142
"95","CHPE","Scaridae","Chlorurus perspicillatus","PRIMARY",2572
"96","HILO","Scaridae","Hipposcarus longiceps","PRIMARY",115
"97","KYCI","Kyphosidae","Kyphosus cinerascens","PRIMARY",7
"98","KYPA","Kyphosidae","Kyphosus pacificus","PRIMARY",8
"99","CHUB","Kyphosidae","Kyphosus sp","PRIMARY",124
"100","NABH","Acanthuridae","Naso brachycentron","PRIMARY",59
"101","NALI","Acanthuridae","Naso lituratus","PRIMARY",0
"102","NATO","Acanthuridae","Naso tonganus","PRIMARY",424
"103","NAUN","Acanthuridae","Naso unicornis","PRIMARY",1422
"104","PARR","Scaridae","Scaridae","PRIMARY",2
"105","SCAL","Scaridae","Scarus altipinnis","PRIMARY",278
"106","SCFE","Scaridae","Scarus festivus","PRIMARY",6
"107","SCFO","Scaridae","Scarus forsteni","PRIMARY",54
"108","SCFR","Scaridae","Scarus frenatus","PRIMARY",8
"109","SCGH","Scaridae","Scarus ghobban","PRIMARY",11
"110","SCRU","Scaridae","Scarus rubroviolaceus","PRIMARY",3997
"111","SCSP","Scaridae","Scarus sp","PRIMARY",360
"112","SCXA","Scaridae","Scarus xanthopleura","PRIMARY",51
"113","AENA","Myliobatidae","Aetobatus narinari","SECONDARY",467
"114","ALGL","Albulidae","Albula glossodonta","SECONDARY",100
"115","ALSC","Monacanthidae","Aluterus scriptus","SECONDARY",169
"116","ARHI","Tetraodontidae","Arothron hispidus","SECONDARY",5
"117","ARMA","Tetraodontidae","Arothron mappa","SECONDARY",7
"118","ARST","Tetraodontidae","Arothron stellatus","SECONDARY",70
"119","BAPO","Balistidae","Balistes polylepis","SECONDARY",3
"120","TRIG","Balistidae","Balistidae","SECONDARY",3
"121","BAVI","Balistidae","Balistoides viridescens","SECONDARY",322
"122","BOBI","Labridae","Bodianus bilunulatus","SECONDARY",44
"123","BOMU","Scaridae","Bolbometopon muricatum","SECONDARY",388
"124","CHUD","Labridae","Cheilinus undulatus","SECONDARY",643
"125","CHIN","Labridae","Cheilio inermis","SECONDARY",1
"126","COAY","Labridae","Coris aygula","SECONDARY",87
"127","COFL","Labridae","Coris flavovittata","SECONDARY",43
"128","DASY","Dasyatidae","Dasyatidae","SECONDARY",19
"129","DAKU","Dasyatidae","Dasyatis kuhlii","SECONDARY",1
"130","DALA","Dasyatidae","Dasyatis lata","SECONDARY",4
"131","DIHY","Diodontidae","Diodon hystrix","SECONDARY",215
"132","GYZE","Muraenidae","Gymnomuraena zebra","SECONDARY",2
"133","GYRU","Muraenidae","Gymnothorax rueppellii","SECONDARY",1
"134","SWEL","Haemulidae","Haemulidae","SECONDARY",1
"135","HEME","Labridae","Hemigymnus melapterus","SECONDARY",1
"136","HIFA","Dasyatidae","Himantura fai","SECONDARY",59
"137","WRAS","Labridae","Labridae","SECONDARY",30
"138","EMPE","Lethrinidae","Lethrinidae","SECONDARY",17
"139","LETH","Lethrinidae","Lethrinus sp","SECONDARY",18
"140","SNAP","Lutjanidae","Lutjanidae","SECONDARY",126
"141","LUGI","Lutjanidae","Lutjanus gibbus","SECONDARY",20
"142","LURI","Lutjanidae","Lutjanus rivulatus","SECONDARY",2
"143","MOGR","Lethrinidae","Monotaxis grandoculis","SECONDARY",322
"144","MYMA","Ophichthidae","Myrichthys magnificus","SECONDARY",4
"145","OPFA","Oplegnathidae","Oplegnathus fasciatus","SECONDARY",11
"146","OPPU","Oplegnathidae","Oplegnathus punctatus","SECONDARY",541
"147","PABA","Mullidae","Parupeneus barberinus","SECONDARY",8
"148","PAPO","Mullidae","Parupeneus porphyreus","SECONDARY",8
"149","PASE","Dasyatidae","Pastinachus sephen","SECONDARY",4
"150","PLOR","Ephippidae","Platax orbicularis","SECONDARY",6
"151","PLTE","Ephippidae","Platax teira","SECONDARY",59
"152","PLAB","Haemulidae","Plectorhinchus albovittatus","SECONDARY",2
"153","PLGI","Haemulidae","Plectorhinchus gibbosus","SECONDARY",66
"154","PLPI","Haemulidae","Plectorhinchus picus","SECONDARY",119
"155","PLVI","Haemulidae","Plectorhinchus vittatus","SECONDARY",14
"156","PSFL","Balistidae","Pseudobalistes flavimarginatus","SECONDARY",205
"157","PSFU","Balistidae","Pseudobalistes fuscus","SECONDARY",5
"158","SASP","Holocentridae","Sargocentron spiniferum","SECONDARY",2
"159","STFC","Stegostomatidae","Stegostoma fasciatum","SECONDARY",3
"160","TAME","Dasyatidae","Taeniura meyeni","SECONDARY",111
"161","TRBL","Carangidae","Trachinotus blochii","SECONDARY",84
"162","FISH","UNKNOWN","Un-id fish sp","SECONDARY",1
"163","URAS","Dasyatidae","Urogymnus asperrimus","SECONDARY",11
"164","NONE","UNKNOWN","no individuals seen","UNKNOWN",0
