SITE,METHOD,OBS_YEAR,SITEVISITID,DATE_,REGION,ISLAND,REEF_ZONE,DEPTH_BIN,HABITAT_CODE,LATITUDE,LONGITUDE,EXCLUDE_FLAG,SEC_NAME,HUMANS20,HUMANS200,TYPE,ANALYSIS_SCHEME,ANALYSIS_YEAR,TUT2012,OTHER_AREA_GROUPING,BENTHIC_SEC_CODE,SITE_MIN_DEPTH_FT,SITE_MAX_DEPTH_FT,CLIMATE_STATION_YN,PERM_SITE,SPECIAL_PROJ_YN,SPECIAL_PROJ_DESCRIPTION
AGR-00131,nSPC,2011,3669,NA,MARIAN,Agrihan,Forereef,Mid,MIX,18.75679149,145.6394757,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00134,nSPC,2011,3676,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.76168619,145.6392775,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00136,nSPC,2011,3663,NA,MARIAN,Agrihan,Forereef,Shallow,PAV,18.73323835,145.6743713,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00137,nSPC,2011,3677,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.79965328,145.6458863,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00138,nSPC,2011,3679,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.80204455,145.6479052,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00141,nSPC,2011,3654,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.7585843,145.6945692,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00148,nSPC,2011,3670,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.77465769,145.6370634,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00149,nSPC,2011,3655,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.74351833,145.6919239,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00164,nSPC,2011,3680,NA,MARIAN,Agrihan,Forereef,Shallow,MIX,18.77764391,145.6355473,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00180,nSPC,2011,3656,NA,MARIAN,Agrihan,Forereef,Mid,AGR,18.72453047,145.6664061,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00181,nSPC,2011,3678,NA,MARIAN,Agrihan,Forereef,Deep,AGR,18.79311883,145.641223,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00188,nSPC,2017,10907,NA,MARIAN,Agrihan,Forereef,Deep,ROB,18.736574,145.686359,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00195,nSPC,2017,10910,NA,MARIAN,Agrihan,Forereef,Deep,AGR,18.786985,145.698605,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00207,nSPC,2017,10905,NA,MARIAN,Agrihan,Forereef,Deep,AGR,18.804538,145.684902,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00211,nSPC,2017,10891,NA,MARIAN,Agrihan,Forereef,Deep,ROB,18.770965,145.636734,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00213,nSPC,2017,10902,NA,MARIAN,Agrihan,Forereef,Deep,AGR,18.764688,145.7011,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00220,nSPC,2017,10892,NA,MARIAN,Agrihan,Forereef,Deep,APS,18.725033,145.669064,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00221,nSPC,2017,10893,NA,MARIAN,Agrihan,Forereef,Mid,ROB,18.760246,145.639377,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00226,nSPC,2017,10888,NA,MARIAN,Agrihan,Forereef,Deep,AGR,18.752531,145.638153,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00230,nSPC,2017,10895,NA,MARIAN,Agrihan,Forereef,Mid,ROB,18.798559,145.643925,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00231,nSPC,2017,10894,NA,MARIAN,Agrihan,Forereef,Deep,AGR,18.753238,145.637611,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00236,nSPC,2017,10903,NA,MARIAN,Agrihan,Forereef,Mid,ROB,18.776928,145.699674,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00239,nSPC,2017,10889,NA,MARIAN,Agrihan,Forereef,Shallow,PAV,18.7516,145.641917,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00240,nSPC,2017,10906,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.807988,145.676305,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00246,nSPC,2017,10911,NA,MARIAN,Agrihan,Forereef,Mid,ROB,18.810883,145.666612,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00248,nSPC,2017,10904,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.783897,145.697254,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00250,nSPC,2017,10908,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.737343,145.678978,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00252,nSPC,2017,10890,NA,MARIAN,Agrihan,Forereef,Shallow,PAV,18.777708,145.635878,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00259,nSPC,2017,10896,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.809106,145.651907,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00260,nSPC,2017,10909,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.755992,145.693124,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2017,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00311,CORALBELT_METHOD_E_F,2017,10912,NA,MARIAN,Agrihan,Forereef,Deep,ROB,18.746564,145.695195,0,Agrihan,NA,NA,RANDOM,BENTHIC_BASIC,2017,NA,NA,AGR,66,74,0,0,0,
AGR-00313,CORALBELT_METHOD_E_F,2017,10914,NA,MARIAN,Agrihan,Forereef,Mid,ROB,18.78234,145.698931,0,Agrihan,NA,NA,RANDOM,BENTHIC_BASIC,2017,NA,NA,AGR,38,53,0,0,0,
AGR-00318,CORALBELT_METHOD_E_F,2017,10900,NA,MARIAN,Agrihan,Forereef,Mid,ROB,18.783068,145.637028,0,Agrihan,NA,NA,RANDOM,BENTHIC_BASIC,2017,NA,NA,AGR,33,39,0,0,0,
AGR-00352,CORALBELT_METHOD_E_F,2017,10899,NA,MARIAN,Agrihan,Forereef,Deep,ROB,18.756852,145.639772,0,Agrihan,NA,NA,RANDOM,BENTHIC_BASIC,2017,NA,NA,AGR,63,74,0,0,0,
AGR-00353,CORALBELT_METHOD_E_F,2017,10901,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.798003,145.643892,0,Agrihan,NA,NA,RANDOM,BENTHIC_BASIC,2017,NA,NA,AGR,10,20,0,0,0,
AGR-00380,CORALBELT_METHOD_E_F,2017,10913,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.765673,145.699651,0,Agrihan,NA,NA,RANDOM,BENTHIC_BASIC,2017,NA,NA,AGR,13,21,0,0,0,
AGR-00397,CORALBELT_METHOD_E_F,2017,10915,NA,MARIAN,Agrihan,Forereef,Shallow,ROB,18.808811,145.672736,0,Agrihan,NA,NA,RANDOM,BENTHIC_BASIC,2017,NA,NA,AGR,10,9,0,0,0,
AGU-00002,nSPC,2009,1849,0004-11-09,MARIAN,Aguijan,Forereef,Mid,UNK,14.84773,145.53667,0,Aguijan,25965,213241,HAPHAZARD,RAMP_BASIC,2009,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00003,nSPC,2009,1850,0004-11-09,MARIAN,Aguijan,Forereef,Mid,UNK,14.85975,145.55557,0,Aguijan,30619,212039,HAPHAZARD,RAMP_BASIC,2009,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00050,nSPC,2009,1851,0004-11-09,MARIAN,Aguijan,Forereef,Deep,UNK,14.86414262,145.5661973,0,Aguijan,32788,211530,RANDOM,RAMP_BASIC,2009,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00051,nSPC,2009,1852,0004-11-09,MARIAN,Aguijan,Forereef,Shallow,UNK,14.85675867,145.5492441,0,Aguijan,29756,212633,RANDOM,RAMP_BASIC,2009,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00052,nSPC,2009,1853,0004-11-09,MARIAN,Aguijan,Forereef,Shallow,UNK,14.8461507,145.5373196,0,Aguijan,25344,213241,RANDOM,RAMP_BASIC,2009,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00053,nSPC,2009,1854,0004-11-09,MARIAN,Aguijan,Forereef,Deep,UNK,14.83678233,145.5280591,0,Aguijan,20355,213241,RANDOM,RAMP_BASIC,2009,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00064,nSPC,2011,3785,0005-04-11,MARIAN,Aguijan,Forereef,Mid,PAV,14.83408235,145.5306025,0,Aguijan,19578,213241,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00066,nSPC,2011,3782,0005-04-11,MARIAN,Aguijan,Forereef,Mid,PAV,14.86709422,145.576241,0,Aguijan,35530,211051,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00075,nSPC,2011,3780,0005-04-11,MARIAN,Aguijan,Forereef,Deep,PAV,14.8422299,145.558905,0,Aguijan,28153,213241,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00078,nSPC,2011,3775,0005-04-11,MARIAN,Aguijan,Forereef,Deep,PAV,14.86491719,145.5800492,0,Aguijan,35467,211056,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00079,nSPC,2011,3774,0005-04-11,MARIAN,Aguijan,Forereef,Mid,PAV,14.84715686,145.5690495,0,Aguijan,29764,212527,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00086,nSPC,2011,3777,0005-04-11,MARIAN,Aguijan,Forereef,Mid,AGR,14.84943263,145.536134,0,Aguijan,26603,213241,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00095,nSPC,2011,3779,0005-04-11,MARIAN,Aguijan,Forereef,Deep,AGR,14.8367286,145.5428066,0,Aguijan,23385,213241,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00096,nSPC,2011,3781,0005-04-11,MARIAN,Aguijan,Forereef,Deep,PAV,14.85210218,145.5754342,0,Aguijan,30927,211854,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00100,nSPC,2011,3773,0005-04-11,MARIAN,Aguijan,Forereef,Deep,SAG,14.83986234,145.5486053,0,Aguijan,25251,213241,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00103,nSPC,2011,3778,0005-04-11,MARIAN,Aguijan,Forereef,Shallow,SAG,14.84304294,145.5381751,0,Aguijan,24406,213241,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00105,nSPC,2011,3784,0005-04-11,MARIAN,Aguijan,Forereef,Shallow,AGR,14.84585054,145.5371264,0,Aguijan,25126,213241,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00114,nSPC,2011,3783,0005-04-11,MARIAN,Aguijan,Forereef,Shallow,AGR,14.8569564,145.5502817,0,Aguijan,29839,212539,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00118,nSPC,2011,3776,0005-04-11,MARIAN,Aguijan,Forereef,Shallow,PAV,14.86078198,145.5586668,0,Aguijan,31108,211867,RANDOM,RAMP_BASIC,2011,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00120,nSPC,2014,6746,0004-08-14,MARIAN,Aguijan,Forereef,Mid,PAV,14.86551809,145.5786213,0,Aguijan,3136,211062,RANDOM,RAMP_BASIC,2014,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00127,nSPC,2014,6747,0004-08-14,MARIAN,Aguijan,Forereef,Deep,PAV,14.84365985,145.5659106,0,Aguijan,3127,213079,RANDOM,RAMP_BASIC,2014,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00130,nSPC,2014,6740,0004-08-14,MARIAN,Aguijan,Forereef,Mid,AGR,14.84862101,145.5375061,0,Aguijan,3102,213241,RANDOM,RAMP_BASIC,2014,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00133,nSPC,2014,6739,0004-08-14,MARIAN,Aguijan,Forereef,Deep,ROB,14.86694561,145.5729019,0,Aguijan,3135,211146,RANDOM,RAMP_BASIC,2014,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00134,nSPC,2014,6749,0004-08-14,MARIAN,Aguijan,Forereef,Shallow,AGR,14.84750211,145.5372731,0,Aguijan,3090,213241,RANDOM,RAMP_BASIC,2014,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00138,nSPC,2014,6752,0004-08-14,MARIAN,Aguijan,Forereef,Deep,PAV,14.82924976,145.5302073,0,Aguijan,2330,213241,RANDOM,RAMP_BASIC,2014,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00142,nSPC,2014,6748,0004-08-14,MARIAN,Aguijan,Forereef,Mid,AGR,14.84227859,145.5542424,0,Aguijan,3125,213241,RANDOM,RAMP_BASIC,2014,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00144,nSPC,2014,6738,0004-08-14,MARIAN,Aguijan,Forereef,Shallow,AGR,14.86163911,145.5615422,0,Aguijan,3130,211743,RANDOM,RAMP_BASIC,2014,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00200,nSPC,2014,6737,0004-08-14,MARIAN,Aguijan,Forereef,Deep,AGR,14.85690535,145.5473116,0,Aguijan,3127,212748,RANDOM,RAMP_BASIC,2014,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00202,nSPC,2014,6745,0004-08-14,MARIAN,Aguijan,Forereef,Mid,SAG,14.85945345,145.5553907,0,Aguijan,3129,212067,RANDOM,RAMP_BASIC,2014,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00281,CORALBELT_METHOD_E_F,2014,6742,0004-08-14,MARIAN,Aguijan,Forereef,Mid,AGR,14.85811838,145.5525452,0,Aguijan,NA,NA,RANDOM,BENTHIC_BASIC,2014,NA,NA,AGU,38,53,0,0,0,
AGU-00289,CORALBELT_METHOD_E_F,2014,6743,0004-08-14,MARIAN,Aguijan,Forereef,Shallow,ROB,14.83510536,145.5322709,0,Aguijan,NA,NA,RANDOM,BENTHIC_BASIC,2014,NA,NA,AGU,14,20,0,0,0,
AGU-00302,CORALBELT_METHOD_E_F,2014,6750,0004-08-14,MARIAN,Aguijan,Forereef,Mid,SAG,14.83747702,145.5311874,0,Aguijan,NA,NA,RANDOM,BENTHIC_BASIC,2014,NA,NA,AGU,41,44,0,0,0,
AGU-00308,CORALBELT_METHOD_E_F,2014,6751,0004-08-14,MARIAN,Aguijan,Forereef,Shallow,PAV,14.83249499,145.5341003,0,Aguijan,NA,NA,RANDOM,BENTHIC_BASIC,2014,NA,NA,AGU,65,66,0,0,0,
AGU-00314,CORALBELT_METHOD_E_F,2014,6741,0004-08-14,MARIAN,Aguijan,Forereef,Deep,AGR,14.86585295,145.569186,0,Aguijan,NA,NA,RANDOM,BENTHIC_BASIC,2014,NA,NA,AGU,68,81,0,0,0,
AGU-00332,CORALBELT_METHOD_E_F,2014,6744,0004-08-14,MARIAN,Aguijan,Forereef,Shallow,ROB,14.85345536,145.5409938,0,Aguijan,NA,NA,RANDOM,BENTHIC_BASIC,2014,NA,NA,AGU,15,19,0,0,0,
AGU-00341,nSPC,2017,10861,NA,MARIAN,Aguijan,Forereef,Deep,AGR,14.835689,145.526244,0,Aguijan,2620,213241,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00350,nSPC,2017,10869,NA,MARIAN,Aguijan,Forereef,Deep,AGR,14.848984,145.573599,0,Aguijan,3129,212118,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00365,nSPC,2017,10860,NA,MARIAN,Aguijan,Forereef,Mid,APS,14.837501,145.53572,0,Aguijan,2973,213241,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00367,nSPC,2017,10872,NA,MARIAN,Aguijan,Forereef,Mid,AGR,14.865178,145.568113,0,Aguijan,3135,211422,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00369,nSPC,2017,10858,NA,MARIAN,Aguijan,Forereef,Mid,PSC,14.83993,145.542536,0,Aguijan,3069,213241,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00370,nSPC,2017,10864,NA,MARIAN,Aguijan,Forereef,Mid,PAV,14.844392,145.566147,0,Aguijan,3128,213051,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00373,nSPC,2017,10873,NA,MARIAN,Aguijan,Forereef,Mid,AGR,14.855478,145.544176,0,Aguijan,3126,213064,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00374,nSPC,2017,10856,NA,MARIAN,Aguijan,Forereef,Mid,PSC,14.838945,145.530071,0,Aguijan,2910,213241,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00375,nSPC,2017,10862,NA,MARIAN,Aguijan,Forereef,Shallow,AGR,14.842339,145.538332,0,Aguijan,3065,213241,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00376,nSPC,2017,10871,NA,MARIAN,Aguijan,Forereef,Shallow,AGR,14.860751,145.558566,0,Aguijan,3130,211873,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00380,nSPC,2017,10855,NA,MARIAN,Aguijan,Forereef,Shallow,AGR,14.846399,145.537094,0,Aguijan,3083,213241,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00384,nSPC,2017,10868,NA,MARIAN,Aguijan,Forereef,Deep,AGR,14.862495,145.563599,0,Aguijan,3132,211655,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00385,nSPC,2017,10859,NA,MARIAN,Aguijan,Forereef,Deep,AGR,14.858534,145.552435,0,Aguijan,3128,212262,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00386,nSPC,2017,10854,NA,MARIAN,Aguijan,Forereef,Deep,AGR,14.854563,145.542951,0,Aguijan,3125,213132,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00387,nSPC,2017,10857,NA,MARIAN,Aguijan,Forereef,Deep,PSC,14.839188,145.547022,0,Aguijan,3081,213241,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00388,nSPC,2017,10863,NA,MARIAN,Aguijan,Forereef,Deep,AGR,14.841427,145.553091,0,Aguijan,3123,213241,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00389,nSPC,2017,10870,NA,MARIAN,Aguijan,Forereef,Mid,PAV,14.858935,145.578857,0,Aguijan,3134,211446,RANDOM,RAMP_BASIC,2017,NA,NA,AGU,NA,NA,0,0,NA,
AGU-00397,CORALBELT_METHOD_E_F,2017,10850,NA,MARIAN,Aguijan,Forereef,Mid,PAV,14.833703,145.531567,0,Aguijan,NA,NA,RANDOM,BENTHIC_BASIC,2017,NA,NA,AGU,45,46,0,0,0,
AGU-00416,CORALBELT_METHOD_E_F,2017,10866,NA,MARIAN,Aguijan,Forereef,Mid,ROB,14.859937,145.579165,0,Aguijan,NA,NA,RANDOM,BENTHIC_BASIC,2017,NA,NA,AGU,32,48,0,0,0,
AGU-00423,CORALBELT_METHOD_E_F,2017,10847,NA,MARIAN,Aguijan,Forereef,Deep,SAG,14.841971,145.554608,0,Aguijan,NA,NA,RANDOM,BENTHIC_BASIC,2017,NA,NA,AGU,65,71,0,0,0,
