,SITE,SITEVISITID,DATE_,OBS_YEAR,REGION,ISLAND,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,EXCLUDE_FLAG,SEC_NAME,HUMANS20,HUMANS200,TYPE,ANALYSIS_SCHEME,ANALYSIS_YEAR,ANALYSIS_STRATA,ANALYSIS_SEC,MPA_Name,MPA_Estab_Yr,Protection,TUT2012,MEAN_HII_40,MEAN_HII_40_ADJUSTED_BY_AREA,SITEVISITI,TUR_MEAN,TUR_SD,TUR_CLIM_M,TUR_ANOM_M,TUR_ANOM_F,SST_MEAN,SST_SD,SST_CLIM_M,SST_ANOM_M,SST_ANOM_F,PAR_MEAN,PAR_SD,PAR_CLIM_M,PAR_ANOM_M,PAR_ANOM_F,CHL_MEAN,CHL_SD,CHL_CLIM_M,CHL_ANOM_M,CHL_ANOM_F,WAVES_MEAN,WAVES_SD,WAVES_CLIM,WAVES_ANOM,WAVES_AN_1
11,AGR-00054,1973,5/3/09,2009,MARIAN,Agrihan,Forereef,Deep,18.81122164,145.6767676,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,1973,0.000119,4.80E-05,0.00026,5.50E-05,0.104743,28.443003,1.192608,29.295,0.935917,0.274038,42.921954,8.625911,57.8807,5.157827,0.193841,0.041499,0.011029,0.09659,0.017738,0.125,NA,NA,NA,NA,NA
12,AGR-00055,1974,5/3/09,2009,MARIAN,Agrihan,Forereef,Shallow,18.80298316,145.6484187,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,1974,9.70E-05,5.20E-05,0.00027,7.60E-05,0.081028,28.426593,1.194875,29.256,0.975417,0.282051,42.846638,8.711686,57.2715,4.72311,0.195652,0.039773,0.010161,0.0699,0.01167,0.134058,NA,NA,NA,NA,NA
13,AGR-00056,1975,5/3/09,2009,MARIAN,Agrihan,Forereef,Shallow,18.77903237,145.6370976,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,1975,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
14,AGR-00057,1976,5/3/09,2009,MARIAN,Agrihan,Forereef,Deep,18.776711,145.6347193,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,1976,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
15,AGR-00061,3660,4/21/11,2011,MARIAN,Agrihan,Forereef,Deep,18.78958267,145.698549,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,3660,0.000108,4.90E-05,0.00027,7.50E-05,0.114625,28.440668,1.16468,29.444,0.808583,0.200321,42.288607,8.801989,57.5481,5.557794,0.193841,0.042724,0.012024,0.09351,0.016565,0.074275,NA,NA,NA,NA,NA
16,AGR-00079,3653,4/21/11,2011,MARIAN,Agrihan,Forereef,Deep,18.7629941,145.7023805,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,3653,0.000102,5.00E-05,0.00027,7.40E-05,0.142292,28.441149,1.186858,29.08,1.116833,0.333333,42.93577,8.455167,57.6036,4.729518,0.173913,0.041002,0.012063,0.11882,0.015951,0.115942,NA,NA,NA,NA,NA
17,AGR-00084,3671,4/22/11,2011,MARIAN,Agrihan,Forereef,Deep,18.788402,145.6392749,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,3671,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
18,AGR-00086,3675,4/22/11,2011,MARIAN,Agrihan,Forereef,Deep,18.77151682,145.6367782,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,3675,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
19,AGR-00087,3661,4/21/11,2011,MARIAN,Agrihan,Forereef,Deep,18.77599301,145.7004052,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,3661,0.000108,4.90E-05,0.00027,7.50E-05,0.114625,28.441149,1.186858,29.08,1.116833,0.333333,42.288607,8.801989,57.5481,5.557794,0.193841,0.042724,0.012024,0.09351,0.016565,0.074275,NA,NA,NA,NA,NA
20,AGR-00090,3651,4/21/11,2011,MARIAN,Agrihan,Forereef,Deep,18.79685573,145.6918644,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,3651,0.000108,4.90E-05,0.00027,7.50E-05,0.114625,28.440668,1.16468,29.444,0.808583,0.200321,42.288607,8.801989,57.5481,5.557794,0.193841,0.042724,0.012024,0.09351,0.016565,0.074275,NA,NA,NA,NA,NA
21,AGR-00097,3652,4/21/11,2011,MARIAN,Agrihan,Forereef,Deep,18.78374208,145.6993967,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,3652,0.000108,4.90E-05,0.00027,7.50E-05,0.114625,28.440668,1.16468,29.444,0.808583,0.200321,42.288607,8.801989,57.5481,5.557794,0.193841,0.042724,0.012024,0.09351,0.016565,0.074275,NA,NA,NA,NA,NA
22,AGR-00113,3668,4/22/11,2011,MARIAN,Agrihan,Forereef,Mid,18.75145021,145.639359,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefMid,Agrihan,NA,NA,NA,NA,7.2,7.2,3668,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
23,AGR-00127,3662,4/21/11,2011,MARIAN,Agrihan,Forereef,Mid,18.73794705,145.6883491,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefMid,Agrihan,NA,NA,NA,NA,7.2,7.2,3662,0.000102,5.00E-05,0.00027,7.40E-05,0.142292,28.45626,1.161693,29.06,1.206583,0.339744,42.93577,8.455167,57.6036,4.729518,0.173913,0.041002,0.012063,0.11882,0.015951,0.115942,NA,NA,NA,NA,NA
24,AGR-00131,3669,4/22/11,2011,MARIAN,Agrihan,Forereef,Mid,18.75679149,145.6394757,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefMid,Agrihan,NA,NA,NA,NA,7.2,7.2,3669,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
25,AGR-00134,3676,4/22/11,2011,MARIAN,Agrihan,Forereef,Shallow,18.76168619,145.6392775,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,3676,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
26,AGR-00136,3663,4/21/11,2011,MARIAN,Agrihan,Forereef,Shallow,18.73323835,145.6743713,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,3663,0.000109,5.10E-05,3.00E-04,8.30E-05,0.114625,28.45626,1.161693,29.06,1.206583,0.339744,43.187623,8.2745,57.206,4.972093,0.193841,0.040405,0.010452,0.08805,0.016909,0.150362,NA,NA,NA,NA,NA
27,AGR-00137,3677,4/22/11,2011,MARIAN,Agrihan,Forereef,Shallow,18.79965328,145.6458863,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,3677,9.70E-05,5.20E-05,0.00027,7.60E-05,0.081028,28.420661,1.173132,29.539,0.701667,0.161859,42.846638,8.711686,57.2715,4.72311,0.195652,0.039773,0.010161,0.0699,0.01167,0.134058,NA,NA,NA,NA,NA
28,AGR-00138,3679,4/22/11,2011,MARIAN,Agrihan,Forereef,Shallow,18.80204455,145.6479052,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,3679,9.70E-05,5.20E-05,0.00027,7.60E-05,0.081028,28.426593,1.194875,29.256,0.975417,0.282051,42.846638,8.711686,57.2715,4.72311,0.195652,0.039773,0.010161,0.0699,0.01167,0.134058,NA,NA,NA,NA,NA
29,AGR-00141,3654,4/21/11,2011,MARIAN,Agrihan,Forereef,Shallow,18.7585843,145.6945692,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,3654,0.000102,5.00E-05,0.00027,7.40E-05,0.142292,28.440668,1.16468,29.444,0.808583,0.200321,42.93577,8.455167,57.6036,4.729518,0.173913,0.041002,0.012063,0.11882,0.015951,0.115942,NA,NA,NA,NA,NA
30,AGR-00148,3670,4/22/11,2011,MARIAN,Agrihan,Forereef,Shallow,18.77465769,145.6370634,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,3670,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
31,AGR-00149,3655,4/21/11,2011,MARIAN,Agrihan,Forereef,Shallow,18.74351833,145.6919239,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,3655,0.000102,5.00E-05,0.00027,7.40E-05,0.142292,28.45626,1.161693,29.06,1.206583,0.339744,42.93577,8.455167,57.6036,4.729518,0.173913,0.041002,0.012063,0.11882,0.015951,0.115942,NA,NA,NA,NA,NA
32,AGR-00164,3680,4/22/11,2011,MARIAN,Agrihan,Forereef,Shallow,18.77764391,145.6355473,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,3680,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
33,AGR-00180,3656,4/21/11,2011,MARIAN,Agrihan,Forereef,Mid,18.72453047,145.6664061,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefMid,Agrihan,NA,NA,NA,NA,7.2,7.2,3656,9.40E-05,5.30E-05,3.00E-04,9.60E-05,0.130435,28.45626,1.161693,29.06,1.206583,0.339744,43.321863,8.094295,57.5608,5.130225,0.206522,0.039779,0.01145,0.08764,0.018385,0.061594,NA,NA,NA,NA,NA
34,AGR-00181,3678,4/22/11,2011,MARIAN,Agrihan,Forereef,Deep,18.79311883,145.641223,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,3678,9.70E-05,5.20E-05,0.00027,7.60E-05,0.081028,28.420661,1.173132,29.539,0.701667,0.161859,42.846638,8.711686,57.2715,4.72311,0.195652,0.039773,0.010161,0.0699,0.01167,0.134058,NA,NA,NA,NA,NA
35,AGU-00002,1849,4/11/09,2009,MARIAN,Aguijan,Forereef,Mid,14.84773,145.53667,0,Aguijan,25965,213241,HAPHAZARD,RAMP_BASIC,2009,ForereefMid,Aguijan,NA,NA,NA,NA,28.9047619,24.76190476,1849,8.60E-05,5.20E-05,0.00027,9.10E-05,0.130435,28.922579,0.636693,29.25,0.791,0.342949,43.690888,8.032395,56.435,3.131514,0.168478,0.039449,0.011734,0.07416,0.010598,0.061594,NA,NA,NA,NA,NA
36,AGU-00003,1850,4/11/09,2009,MARIAN,Aguijan,Forereef,Mid,14.85975,145.55557,0,Aguijan,30619,212039,HAPHAZARD,RAMP_BASIC,2009,ForereefMid,Aguijan,NA,NA,NA,NA,30.20833333,26.70833333,1850,8.60E-05,5.20E-05,0.00027,9.10E-05,0.130435,28.911903,0.660957,29.176,0.861917,0.350962,43.690888,8.032395,56.435,3.131514,0.168478,0.039449,0.011734,0.07416,0.010598,0.061594,NA,NA,NA,NA,NA
37,AGU-00050,1851,4/11/09,2009,MARIAN,Aguijan,Forereef,Deep,14.86414262,145.5661973,0,Aguijan,32788,211530,RANDOM,RAMP_BASIC,2009,ForereefDeep,Aguijan,NA,NA,NA,NA,30.20833333,29.125,1851,8.60E-05,5.20E-05,0.00027,9.10E-05,0.130435,28.911903,0.660957,29.176,0.861917,0.350962,43.707106,7.905232,56.2925,3.175735,0.168478,0.040438,0.01529,0.08782,0.009475,0.036232,NA,NA,NA,NA,NA
38,AGU-00051,1852,4/11/09,2009,MARIAN,Aguijan,Forereef,Shallow,14.85675867,145.5492441,0,Aguijan,29756,212633,RANDOM,RAMP_BASIC,2009,ForereefShallow,Aguijan,NA,NA,NA,NA,30.08695652,25.82608696,1852,8.60E-05,5.20E-05,0.00027,9.10E-05,0.130435,28.894974,0.65127,29.083,0.949167,0.395833,43.690888,8.032395,56.435,3.131514,0.168478,0.039449,0.011734,0.07416,0.010598,0.061594,NA,NA,NA,NA,NA
39,AGU-00052,1853,4/11/09,2009,MARIAN,Aguijan,Forereef,Shallow,14.8461507,145.5373196,0,Aguijan,25344,213241,RANDOM,RAMP_BASIC,2009,ForereefShallow,Aguijan,NA,NA,NA,NA,29.05,25.75,1853,8.60E-05,5.20E-05,0.00027,9.10E-05,0.130435,28.922579,0.636693,29.25,0.791,0.342949,43.690888,8.032395,56.435,3.131514,0.168478,0.039449,0.011734,0.07416,0.010598,0.061594,NA,NA,NA,NA,NA
40,AGU-00053,1854,4/11/09,2009,MARIAN,Aguijan,Forereef,Deep,14.83678233,145.5280591,0,Aguijan,20355,213241,RANDOM,RAMP_BASIC,2009,ForereefDeep,Aguijan,NA,NA,NA,NA,29.21052632,23.52631579,1854,0.00012,5.30E-05,0.00024,4.20E-05,0.055336,28.922579,0.636693,29.25,0.791,0.342949,43.41511,7.608861,55.8539,3.509994,0.175725,0.038793,0.012494,0.09382,0.013373,0.052536,NA,NA,NA,NA,NA
41,AGU-00064,3785,5/4/11,2011,MARIAN,Aguijan,Forereef,Mid,14.83408235,145.5306025,0,Aguijan,19578,213241,RANDOM,RAMP_BASIC,2011,ForereefMid,Aguijan,NA,NA,NA,NA,29.21052632,23.21052632,3785,0.00012,5.30E-05,0.00024,4.20E-05,0.055336,28.922579,0.636693,29.25,0.791,0.342949,43.41511,7.608861,55.8539,3.509994,0.175725,0.038793,0.012494,0.09382,0.013373,0.052536,NA,NA,NA,NA,NA
42,AGU-00066,3782,5/4/11,2011,MARIAN,Aguijan,Forereef,Mid,14.86709422,145.576241,0,Aguijan,35530,211051,RANDOM,RAMP_BASIC,2011,ForereefMid,Aguijan,NA,NA,NA,NA,30.20833333,29.54166667,3782,0.000121,5.30E-05,0.00027,7.70E-05,0.164032,28.911903,0.660957,29.176,0.861917,0.350962,43.707106,7.905232,56.2925,3.175735,0.168478,0.040438,0.01529,0.08782,0.009475,0.036232,NA,NA,NA,NA,NA
43,AGU-00075,3780,5/4/11,2011,MARIAN,Aguijan,Forereef,Deep,14.8422299,145.558905,0,Aguijan,28153,213241,RANDOM,RAMP_BASIC,2011,ForereefDeep,Aguijan,NA,NA,NA,NA,29.05,26.5,3780,0.000121,5.30E-05,0.00027,7.70E-05,0.164032,28.91382,0.643252,29.304,0.747833,0.286859,44.079186,7.736815,56.1128,3.015994,0.179348,0.03606,0.012778,0.0957,0.011128,0.059783,NA,NA,NA,NA,NA
44,AGU-00078,3775,5/4/11,2011,MARIAN,Aguijan,Forereef,Deep,14.86491719,145.5800492,0,Aguijan,35467,211056,RANDOM,RAMP_BASIC,2011,ForereefDeep,Aguijan,NA,NA,NA,NA,30.20833333,29.54166667,3775,0.000121,5.30E-05,0.00027,7.70E-05,0.164032,28.911903,0.660957,29.176,0.861917,0.350962,43.707106,7.905232,56.2925,3.175735,0.168478,0.040438,0.01529,0.08782,0.009475,0.036232,NA,NA,NA,NA,NA
45,AGU-00079,3774,5/4/11,2011,MARIAN,Aguijan,Forereef,Mid,14.84715686,145.5690495,0,Aguijan,29764,212527,RANDOM,RAMP_BASIC,2011,ForereefMid,Aguijan,NA,NA,NA,NA,30.08695652,25.2173913,3774,0.000121,5.30E-05,0.00027,7.70E-05,0.164032,28.91382,0.643252,29.304,0.747833,0.286859,44.079186,7.736815,56.1128,3.015994,0.179348,0.03606,0.012778,0.0957,0.011128,0.059783,NA,NA,NA,NA,NA
46,AGU-00086,3777,5/4/11,2011,MARIAN,Aguijan,Forereef,Mid,14.84943263,145.536134,0,Aguijan,26603,213241,RANDOM,RAMP_BASIC,2011,ForereefMid,Aguijan,NA,NA,NA,NA,28.9047619,24.95238095,3777,8.60E-05,5.20E-05,0.00027,9.10E-05,0.130435,28.922579,0.636693,29.25,0.791,0.342949,43.690888,8.032395,56.435,3.131514,0.168478,0.039449,0.011734,0.07416,0.010598,0.061594,NA,NA,NA,NA,NA
47,AGU-00095,3779,5/4/11,2011,MARIAN,Aguijan,Forereef,Deep,14.8367286,145.5428066,0,Aguijan,23385,213241,RANDOM,RAMP_BASIC,2011,ForereefDeep,Aguijan,NA,NA,NA,NA,29.05,23.65,3779,8.60E-05,5.20E-05,0.00027,9.10E-05,0.130435,28.922579,0.636693,29.25,0.791,0.342949,43.690888,8.032395,56.435,3.131514,0.168478,0.039449,0.011734,0.07416,0.010598,0.061594,NA,NA,NA,NA,NA
48,AGU-00096,3781,5/4/11,2011,MARIAN,Aguijan,Forereef,Deep,14.85210218,145.5754342,0,Aguijan,30927,211854,RANDOM,RAMP_BASIC,2011,ForereefDeep,Aguijan,NA,NA,NA,NA,30.20833333,27.25,3781,0.000121,5.30E-05,0.00027,7.70E-05,0.164032,28.911903,0.660957,29.176,0.861917,0.350962,44.079186,7.736815,56.1128,3.015994,0.179348,0.03606,0.012778,0.0957,0.011128,0.059783,NA,NA,NA,NA,NA
49,AGU-00100,3773,5/4/11,2011,MARIAN,Aguijan,Forereef,Deep,14.83986234,145.5486053,0,Aguijan,25251,213241,RANDOM,RAMP_BASIC,2011,ForereefDeep,Aguijan,NA,NA,NA,NA,29.05,25.05,3773,0.000121,5.30E-05,0.00027,7.70E-05,0.164032,28.922579,0.636693,29.25,0.791,0.342949,44.079186,7.736815,56.1128,3.015994,0.179348,0.03606,0.012778,0.0957,0.011128,0.059783,NA,NA,NA,NA,NA
50,AGU-00103,3778,5/4/11,2011,MARIAN,Aguijan,Forereef,Shallow,14.84304294,145.5381751,0,Aguijan,24406,213241,RANDOM,RAMP_BASIC,2011,ForereefShallow,Aguijan,NA,NA,NA,NA,29.05,24.95,3778,8.60E-05,5.20E-05,0.00027,9.10E-05,0.130435,28.922579,0.636693,29.25,0.791,0.342949,43.690888,8.032395,56.435,3.131514,0.168478,0.039449,0.011734,0.07416,0.010598,0.061594,NA,NA,NA,NA,NA
51,AGU-00105,3784,5/4/11,2011,MARIAN,Aguijan,Forereef,Shallow,14.84585054,145.5371264,0,Aguijan,25126,213241,RANDOM,RAMP_BASIC,2011,ForereefShallow,Aguijan,NA,NA,NA,NA,29.05,25.6,3784,8.60E-05,5.20E-05,0.00027,9.10E-05,0.130435,28.922579,0.636693,29.25,0.791,0.342949,43.690888,8.032395,56.435,3.131514,0.168478,0.039449,0.011734,0.07416,0.010598,0.061594,NA,NA,NA,NA,NA
52,AGU-00114,3783,5/4/11,2011,MARIAN,Aguijan,Forereef,Shallow,14.8569564,145.5502817,0,Aguijan,29839,212539,RANDOM,RAMP_BASIC,2011,ForereefShallow,Aguijan,NA,NA,NA,NA,30.08695652,26.04347826,3783,8.60E-05,5.20E-05,0.00027,9.10E-05,0.130435,28.911903,0.660957,29.176,0.861917,0.350962,43.690888,8.032395,56.435,3.131514,0.168478,0.039449,0.011734,0.07416,0.010598,0.061594,NA,NA,NA,NA,NA
53,AGU-00118,3776,5/4/11,2011,MARIAN,Aguijan,Forereef,Shallow,14.86078198,145.5586668,0,Aguijan,31108,211867,RANDOM,RAMP_BASIC,2011,ForereefShallow,Aguijan,NA,NA,NA,NA,30.20833333,27.58333333,3776,8.60E-05,5.20E-05,0.00027,9.10E-05,0.130435,28.911903,0.660957,29.176,0.861917,0.350962,43.690888,8.032395,56.435,3.131514,0.168478,0.039449,0.011734,0.07416,0.010598,0.061594,NA,NA,NA,NA,NA
