SITEVISITID,ROUNDID,MISSIONID,REGION,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,new_MIN_DEPTH_M,new_MAX_DEPTH_M,SITE,OLD_SITE,OCC_SITEID,LATITUDE_SV,LONGITUDE_SV,LATITUDE_LOV,LONGITUDE_LOV,OBS_YEAR,ANALYSIS_YEAR,DATE_,HABITAT_CODE,EXCLUDE_FLAG,CLIMATE_STATION_YN,PERM_SITE,TRANSECT_PHOTOS,PHOTOMOSAIC_YN,benth,fish,arms_d,arms_r,cau_d,cau_r,microb,ARMS,Benthic,CAU,Fish,Oceanography,HUMANS20,HUMANS200,TYPE,ANALYSIS_SCHEME,bANALYSIS_SCHEME,TUT2012,OTHER_AREA_GROUPING,SPECIAL_PROJ_YN,SPECIAL_PROJ_DESCRIPTION
38180,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Deep,NA,NA,ROT-00712,ROT-712,NA,14.133835,145.139469,14.133835,145.139469,2022,2022,04/16/2022 08.47.36,SAG,0,-1,NA,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38181,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Shallow,NA,NA,ROT-00748,ROT-748,NA,14.137025,145.149443,14.137025,145.149443,2022,2022,04/16/2022 09.54.48,SAG,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38182,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Mid,NA,NA,ROT-00755,ROT-755,NA,14.120872,145.168067,14.120872,145.168067,2022,2022,04/16/2022 11.07.24,AGR,0,-1,NA,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38183,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Mid,NA,NA,ROT-00785,ROT-785,NA,14.15188,145.271967,14.15188,145.271967,2022,2022,04/16/2022 12.37.29,PAV,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38184,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Mid,NA,NA,ROT-00783,ROT-783,NA,14.153618,145.256183,14.153618,145.256183,2022,2022,04/16/2022 13.42.57,PAV,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38185,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Mid,NA,NA,ROT-00003,ROT-03,OCC-ROT-003,14.113944,145.166885,14.114,145.16717,2022,2022,04/16/2022 09.23.09,NA,0,-1,NA,0,-1,0,0,0,0,1,1,0,0,0,1,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38187,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Mid,NA,NA,ROT-00003,ROT-03,OCC-ROT-003,14.113968,145.16693,14.114,145.16717,2022,2022,04/16/2022 10.26.09,NA,0,-1,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38188,180,RA2201_LEG3,MARIAN,Rota,Rota,NA,NA,NA,NA,ROT-00086,ROT-86,OCC-ROT-002,14.175041,145.286318,14.17503,145.2863,2022,2022,04/16/2022 14.29.34,NA,0,-1,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38200,180,RA2201_LEG3,MARIAN,Guam,GUA_PATI_POINT,Forereef,Mid,NA,NA,GUA-00023,GUA-23,OCC-GUA-002,13.603323,144.923627,13.6033,144.92365,2022,2022,04/17/2022 10.13.46,NA,0,0,NA,0,-1,0,0,0,0,1,1,0,0,0,1,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38203,180,RA2201_LEG3,MARIAN,Guam,GUA_PATI_POINT,NA,NA,NA,NA,GUA-02352,GUA-2352,OCC-GUA-001,13.603881,144.923974,13.60387,144.92395,2022,2022,04/17/2022 11.05.19,NA,0,-1,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38205,180,RA2201_LEG3,MARIAN,Guam,GUA_PATI_POINT,Forereef,Mid,NA,NA,GUA-00023,GUA-23,OCC-GUA-002,13.603332,144.923648,13.6033,144.92365,2022,2022,04/17/2022 13.32.43,NA,0,0,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38207,180,RA2201_LEG3,MARIAN,Guam,GUA_PATI_POINT,Forereef,Deep,NA,NA,GUA-02579,GUA-2579,NA,13.58944,144.95432,13.58944,144.95432,2022,2022,04/17/2022 09.02.00,AGR,0,-1,NA,-1,-1,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38208,180,RA2201_LEG3,MARIAN,Guam,GUA_PATI_POINT,Forereef,Mid,NA,NA,GUA-02515,GUA-2515,NA,13.597002,144.957395,13.30759596,144.7784864,2022,2022,04/17/2022 10.03.19,PAV,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38209,180,RA2201_LEG3,MARIAN,Guam,GUA_PATI_POINT,Forereef,Mid,NA,NA,GUA-02512,GUA-2512,NA,13.606343,144.912645,13.56380157,144.8160802,2022,2022,04/17/2022 11.13.42,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38210,180,RA2201_LEG3,MARIAN,Guam,GUA_PATI_POINT,Forereef,Mid,NA,NA,GUA-02578,GUA-2578,NA,13.613472,144.907106,13.613472,144.907106,2022,2022,04/17/2022 12.43.50,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38211,180,RA2201_LEG3,MARIAN,Guam,GUA_PATI_POINT,Forereef,Shallow,NA,NA,GUA-02573,GUA-2573,NA,13.601756,144.926739,13.601756,144.926739,2022,2022,04/17/2022 14.18.47,PAV,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38212,180,RA2201_LEG3,MARIAN,Guam,GUA_PATI_POINT,NA,NA,NA,NA,GUA-02353,GUA-2353,OCC-GUA-003,13.602288,144.923413,13.60229,144.9234,2022,2022,04/17/2022 14.45.52,NA,0,-1,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38220,180,RA2201_LEG3,MARIAN,Guam,GUA_ACHANG,Forereef,Mid,NA,NA,GUA-02499,GUA-2499,NA,13.243722,144.715535,13.45318509,144.6192179,2022,2022,04/18/2022 12.06.33,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38221,180,RA2201_LEG3,MARIAN,Guam,GUA_ACHANG,Forereef,Deep,NA,NA,GUA-02503,GUA-2503,NA,13.240269,144.709578,13.50295926,144.7694405,2022,2022,04/18/2022 13.11.55,PAV,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38222,180,RA2201_LEG3,MARIAN,Guam,GUA_ACHANG,Forereef,Shallow,NA,NA,GUA-02494,GUA-2494,NA,13.241712,144.69488,13.44956051,144.6699937,2022,2022,04/18/2022 14.37.35,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38226,180,RA2201_LEG3,MARIAN,Guam,GUA_ACHANG,Forereef,Mid,NA,NA,GUA-00021,GUA-21,OCC-GUA-009,13.241257,144.704493,13.24126317,144.7044194,2022,2022,04/18/2022 11.50.03,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38227,180,RA2201_LEG3,MARIAN,Guam,GUA_ACHANG,NA,NA,NA,NA,GUA-02356,GUA-2356,OCC-GUA-010,13.242162,144.703895,13.24216,144.70398,2022,2022,04/18/2022 13.48.17,NA,0,-1,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38228,180,RA2201_LEG3,MARIAN,Guam,GUA_ACHANG,NA,NA,NA,NA,GUA-02357,GUA-2357,OCC-GUA-011,13.243411,144.70054,13.24343,144.70053,2022,2022,04/18/2022 14.37.59,NA,0,-1,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38229,180,RA2201_LEG3,MARIAN,Guam,GUA_ACHANG,Forereef,Mid,NA,NA,GUA-00021,GUA-21,OCC-GUA-008,13.240901,144.704513,13.24126317,144.7044194,2022,2022,04/18/2022 09.29.44,NA,0,0,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38240,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Mid,NA,NA,TIN-00770,TIN-770,NA,15.028507,145.652557,15.028507,145.652557,2022,2022,04/19/2022 08.52.33,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38241,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Deep,NA,NA,TIN-00736,TIN-736,NA,15.049671,145.653943,15.049671,145.653943,2022,2022,04/19/2022 09.55.02,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38242,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Deep,NA,NA,TIN-00751,TIN-751,NA,15.035907,145.652092,15.035907,145.652092,2022,2022,04/19/2022 11.02.53,SAG,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38243,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Shallow,NA,NA,TIN-00783,TIN-783,NA,15.079627,145.621341,15.079627,145.621341,2022,2022,04/19/2022 12.34.24,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38244,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Mid,NA,NA,TIN-00766,TIN-766,NA,15.067772,145.609559,15.067772,145.609559,2022,2022,04/19/2022 13.44.03,SAG,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38245,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Shallow,NA,NA,TIN-00771,TIN-771,NA,15.042398,145.596373,15.042398,145.596373,2022,2022,04/19/2022 14.52.47,SAG,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38246,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Mid,NA,NA,TIN-00001,TIN-01,OCC-TIN-002,15.034649,145.651344,15.03477269,145.6510282,2022,2022,04/19/2022 09.31.16,NA,0,-1,NA,0,-1,0,0,0,0,1,1,0,0,0,1,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38247,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Mid,NA,NA,TIN-00001,TIN-01,OCC-TIN-003,15.034719,145.6511,15.03477269,145.6510282,2022,2022,04/19/2022 09.42.51,NA,0,-1,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38248,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Mid,NA,NA,TIN-00001,TIN-01,OCC-TIN-002,15.034678,145.651298,15.03477269,145.6510282,2022,2022,04/19/2022 11.35.27,NA,0,-1,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38249,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Mid,NA,NA,TIN-00006,TIN-06,OCC-TIN-001,15.080396,145.621363,15.08027,145.62132,2022,2022,04/19/2022 14.03.02,NA,0,-1,NA,0,-1,0,0,0,0,1,1,0,0,0,1,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38250,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Mid,NA,NA,TIN-00006,TIN-06,OCC-TIN-001,15.080362,145.621402,15.08027,145.62132,2022,2022,04/19/2022 14.52.49,NA,0,-1,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38260,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Mid,NA,NA,TIN-00002,TIN-02,OCC-TIN-004,14.940797,145.62788,14.94048617,145.6279112,2022,2022,04/20/2022 10.10.47,NA,0,-1,NA,0,-1,0,0,0,0,1,1,0,0,0,1,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38263,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Mid,NA,NA,TIN-00003,TIN-03,OCC-TIN-005,14.990557,145.602927,14.99072,145.60302,2022,2022,04/20/2022 12.57.22,NA,0,-1,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38264,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Mid,NA,NA,TIN-00003,TIN-03,OCC-TIN-005,14.990638,145.602878,14.99072,145.60302,2022,2022,04/20/2022 11.32.54,NA,0,-1,NA,0,-1,0,0,0,0,1,1,0,0,0,1,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38266,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Deep,NA,NA,TIN-00748,TIN-748,NA,14.949325,145.62233,14.949325,145.62233,2022,2022,04/20/2022 09.17.49,RRB,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38267,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Shallow,NA,NA,TIN-00787,TIN-787,NA,14.970769,145.611689,14.970769,145.611689,2022,2022,04/20/2022 10.26.55,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38268,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Deep,NA,NA,TIN-00741,TIN-741,NA,14.984384,145.605315,14.984384,145.605315,2022,2022,04/20/2022 11.49.48,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38269,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Shallow,NA,NA,TIN-00792,TIN-792,NA,14.990702,145.606088,14.990702,145.606088,2022,2022,04/20/2022 13.20.57,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38270,180,RA2201_LEG3,MARIAN,Tinian,Tinian,Forereef,Mid,NA,NA,TIN-00777,TIN-777,NA,14.990803,145.602863,14.990803,145.602863,2022,2022,04/20/2022 15.10.57,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38280,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Deep,NA,NA,SAI-00598,SAI-598,OCC-SAI-008,15.097754,145.742824,15.09768264,145.7428457,2022,2022,04/21/2022 09.30.34,NA,0,-1,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38281,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Deep,NA,NA,SAI-00005,SAI-05,OCC-SAI-010,15.098342,145.74437,15.09862,145.74465,2022,2022,04/21/2022 11.00.30,NA,0,0,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38285,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Deep,NA,NA,SAI-00005,SAI-05,OCC-SAI-009,15.09785,145.743427,15.09862,145.74465,2022,2022,04/21/2022 13.58.05,NA,0,0,NA,0,-1,0,0,0,0,1,1,0,0,0,1,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38286,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Deep,NA,NA,SAI-00005,SAI-05,OCC-SAI-009,15.097902,145.74339,15.09862,145.74465,2022,2022,04/21/2022 14.48.40,NA,0,0,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38287,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Deep,NA,NA,SAI-01692,SAI-1692,NA,15.102978,145.728435,15.102978,145.728435,2022,2022,04/21/2022 10.25.18,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38288,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Shallow,NA,NA,SAI-01754,SAI-1754,NA,15.097198,145.744893,15.097198,145.744893,2022,2022,04/21/2022 11.35.03,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38289,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Deep,NA,NA,SAI-01671,SAI-1671,NA,15.095998,145.743657,15.095998,145.743657,2022,2022,04/21/2022 12.47.44,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38290,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Shallow,NA,NA,SAI-01745,SAI-1745,NA,15.110023,145.705078,15.110023,145.705078,2022,2022,04/21/2022 14.01.14,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38291,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Mid,NA,NA,SAI-01729,SAI-1729,NA,15.118166,145.692586,15.118166,145.692586,2022,2022,04/21/2022 15.03.55,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38300,180,RA2201_LEG3,MARIAN,Saipan,Saipan,NA,NA,NA,NA,SAI-02002,SAI-2002,OCC-SAI-011,15.157634,145.685932,15.15765,145.68593,2022,2022,04/22/2022 10.11.16,NA,0,-1,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38301,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Mid,NA,NA,SAI-00023,SAI-23,OCC-SAI-012,15.156373,145.689743,15.15644758,145.689702,2022,2022,04/22/2022 11.32.43,NA,0,0,NA,0,-1,0,0,0,0,1,1,0,0,0,1,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38302,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Mid,NA,NA,SAI-00023,SAI-23,OCC-SAI-012,15.156331,145.689786,15.15644758,145.689702,2022,2022,04/22/2022 12.29.34,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38303,180,RA2201_LEG3,MARIAN,Saipan,Saipan,NA,NA,NA,NA,SAI-02003,SAI-2003,OCC-SAI-013,15.154688,145.692446,15.15466,145.69243,2022,2022,04/22/2022 14.36.57,NA,0,-1,NA,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38307,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Deep,NA,NA,SAI-01696,SAI-1696,NA,15.191399,145.694212,15.191399,145.694212,2022,2022,04/22/2022 09.01.06,RRB,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38308,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Deep,NA,NA,SAI-01662,SAI-1662,NA,15.165933,145.69254,15.165933,145.69254,2022,2022,04/22/2022 10.01.51,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38309,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Mid,NA,NA,SAI-01702,SAI-1702,NA,15.148115,145.694093,15.148115,145.694093,2022,2022,04/22/2022 10.56.55,RRB,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38310,180,RA2201_LEG3,MARIAN,Saipan,Saipan,Forereef,Mid,NA,NA,SAI-01735,SAI-1735,NA,15.132929,145.68188,15.132929,145.68188,2022,2022,04/22/2022 11.55.00,SAG,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
