"SITEVISITID","EXCLUDE_FLAG","MISSIONID","ROUNDID","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","SITE","OLD_SITE","TYPE","CLIMATE_STATION_YN","PERM_SITE","OCC_SITEID","HABITAT_CODE","new_MIN_DEPTH_M","new_MAX_DEPTH_M","LATITUDE_SV","LONGITUDE_SV","LATITUDE_LOV","LONGITUDE_LOV","ANALYSIS_YEAR","OBS_YEAR","DATE_","TRANSECT_PHOTOS","PHOTOMOSAIC_YN","benth","fish","arms_d","arms_r","cau_d","cau_r","microb","ARMS","Benthic","CAU","Fish","Oceanography","HUMANS20","HUMANS200","ANALYSIS_SCHEME","bANALYSIS_SCHEME","TUT2012","OTHER_AREA_GROUPING","SPECIAL_PROJ_YN","SPECIAL_PROJ_DESCRIPTION"
11,0,"TC0011",22,"NWHI","French Frigate","French Frigate","Protected Slope","Mid","FFS-00011","FFS-11","Haphazard",0,-1,NA,NA,11,11,NA,NA,23.76845,-166.261483,"2000",2000,"9/14/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
12,0,"TC0011",22,"NWHI","French Frigate","French Frigate","Protected Slope","Mid","FFS-00012","FFS-12","Haphazard",0,-1,NA,NA,10,11,NA,NA,23.63835,-166.18005,"2000",2000,"9/15/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
13,0,"TC0011",22,"NWHI","French Frigate","French Frigate","Lagoon","Mid","FFS-00013","FFS-13","Haphazard",0,-1,NA,NA,8,8,NA,NA,23.648233,-166.155183,"2000",2000,"9/15/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
14,0,"TC0011",22,"NWHI","French Frigate","French Frigate","Protected Slope","Mid","FFS-00014","FFS-14","Haphazard",0,-1,NA,NA,13,13,NA,NA,23.651633,-166.173517,"2000",2000,"9/15/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
15,0,"TC0011",22,"NWHI","Maro","Maro","Forereef","Mid","MAR-00001","1-Mar","Haphazard",0,-1,NA,NA,11,11,NA,NA,25.34,-170.494167,"2000",2000,"9/17/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
16,0,"TC0011",22,"NWHI","Maro","Maro","Lagoon","Mid","MAR-00002","2-Mar","Haphazard",0,-1,NA,NA,13,13,NA,NA,25.354083,-170.5371,"2000",2000,"9/17/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
17,0,"TC0011",22,"NWHI","Maro","Maro","Lagoon","Mid","MAR-00003","3-Mar","Haphazard",0,-1,NA,NA,13,13,NA,NA,25.350767,-170.54325,"2000",2000,"9/17/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
18,0,"TC0011",22,"NWHI","Maro","Maro","Lagoon","Shallow","MAR-00004","4-Mar","Haphazard",0,-1,NA,NA,5,5,NA,NA,25.430983,-170.542,"2000",2000,"9/18/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
19,0,"TC0011",22,"NWHI","Maro","Maro","Lagoon","Shallow","MAR-00005","5-Mar","Haphazard",0,-1,NA,NA,5,5,NA,NA,25.404217,-170.542083,"2000",2000,"9/18/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
20,0,"TC0011",22,"NWHI","Maro","Maro","Forereef","Mid","MAR-00006","6-Mar","Haphazard",0,-1,NA,NA,6,11,NA,NA,25.3983,-170.573983,"2000",2000,"9/18/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
21,0,"TC0011",22,"NWHI","Maro","Maro","Forereef","Mid","MAR-00007","7-Mar","Haphazard",0,-1,NA,NA,13,13,NA,NA,25.402917,-170.610367,"2000",2000,"9/19/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
22,0,"TC0011",22,"NWHI","Maro","Maro","Forereef","Shallow","MAR-00008","8-Mar","Haphazard",0,-1,NA,NA,4,8,NA,NA,25.41695,-170.583733,"2000",2000,"9/19/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
23,0,"TC0011",22,"NWHI","Maro","Maro","Forereef","Mid","MAR-00009","9-Mar","Haphazard",0,-1,NA,NA,16,16,NA,NA,25.391217,-170.584267,"2000",2000,"9/19/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
24,0,"TC0011",22,"NWHI","Maro","Maro","Forereef","Mid","MAR-00010","10-Mar","Haphazard",0,-1,NA,NA,8,8,NA,NA,25.45965,-170.578783,"2000",2000,"9/20/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
25,0,"TC0011",22,"NWHI","Maro","Maro","Forereef","Shallow","MAR-00011","11-Mar","Haphazard",0,-1,NA,NA,5,5,NA,NA,25.481667,-170.620333,"2000",2000,"9/20/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
26,0,"TC0011",22,"NWHI","Laysan","Laysan","Forereef","Mid","LAY-00001","LAY-01","Haphazard",0,-1,NA,NA,8,8,NA,NA,25.7845,-171.7192,"2000",2000,"9/21/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
27,0,"TC0011",22,"NWHI","Laysan","Laysan","Forereef","Mid","LAY-00002","LAY-02","Haphazard",0,-1,NA,NA,8,8,NA,NA,25.788017,-171.73585,"2000",2000,"9/21/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
28,0,"TC0011",22,"NWHI","Laysan","Laysan","Forereef","Mid","LAY-00003","LAY-03","Haphazard",0,-1,NA,NA,13,13,NA,NA,25.758133,-171.71955,"2000",2000,"9/21/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
249,0,"TC0207",5,"NWHI","Lisianski","Lisianski","Forereef","Mid","LIS-00015","LIS-15","Haphazard",0,-1,NA,NA,15,15,NA,NA,25.99315,-173.865833,"2002",2002,"9/30/2002",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
29,0,"TC0011",22,"NWHI","Lisianski","Lisianski","Forereef","Shallow","LIS-00001","LIS-01","Haphazard",0,-1,NA,NA,5,5,NA,NA,25.971317,-173.8706,"2000",2000,"9/22/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
1562,0,"HI0809",34,"NWHI","Lisianski","Lisianski","Forereef","Mid","LIS-00208","LIS-208",NA,0,0,NA,NA,15,15,NA,NA,25.954429,-173.872952,"2008",2008,"10/5/2008",NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,"RAMP_BASIC","NO SCHEME",NA,NA,NA,NA
31,0,"TC0011",22,"NWHI","Lisianski","Lisianski","Forereef","Shallow","LIS-00003","LIS-03","Haphazard",0,-1,NA,NA,5,5,NA,NA,26.012783,-173.875133,"2000",2000,"9/23/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
200,0,"TC0207",5,"NWHI","Lisianski","Lisianski","Forereef","Mid","LIS-00009","LIS-09","Haphazard",0,-1,NA,NA,16,16,NA,NA,25.958092,-173.882525,"2002",2002,"9/16/2002",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
34,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Forereef","Deep","PHR-00001","PHR-01","Haphazard",0,-1,NA,NA,20,20,NA,NA,27.957583,-175.7521,"2000",2000,"9/25/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
35,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Forereef","Deep","PHR-00002","PHR-02","Haphazard",0,-1,NA,NA,20,20,NA,NA,27.879917,-175.730033,"2000",2000,"9/25/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
36,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Forereef","Mid","PHR-00003","PHR-03","Haphazard",0,-1,NA,NA,18,18,NA,NA,27.810467,-175.760717,"2000",2000,"9/25/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
37,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Lagoon","Shallow","PHR-00004","PHR-04","Haphazard",0,-1,NA,NA,4,4,NA,NA,27.81985,-175.79275,"2000",2000,"9/26/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
38,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Lagoon","Shallow","PHR-00005","PHR-05","Haphazard",0,-1,NA,NA,4,4,NA,NA,27.801433,-175.861867,"2000",2000,"9/26/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
39,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Lagoon","Mid","PHR-00006","PHR-06","Haphazard",0,-1,NA,NA,18,18,NA,NA,27.790967,-175.966383,"2000",2000,"9/26/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
40,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Lagoon","Shallow","PHR-00007","PHR-07","Haphazard",0,-1,NA,NA,4,4,NA,NA,27.85035,-175.912183,"2000",2000,"9/27/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
41,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Lagoon","Mid","PHR-00008","PHR-08","Haphazard",0,-1,NA,NA,18,18,NA,NA,27.7908,-175.955817,"2000",2000,"9/27/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
42,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Lagoon","Mid","PHR-00009","PHR-09","Haphazard",0,-1,NA,NA,13,13,NA,NA,27.778633,-175.932417,"2000",2000,"9/27/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
295,0,"OES0306",6,"NWHI","Lisianski","Lisianski","Forereef","Mid","LIS-00009","LIS-09","Haphazard",0,-1,NA,NA,16,16,NA,NA,25.958092,-173.882525,"2003",2003,"7/26/2003",NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
2719,0,"HI0907",40,"NWHI","Lisianski","Lisianski","Forereef","Mid","LIS-00479","LIS-479","RANDOM",0,0,NA,"UNK",13,13,NA,NA,26.03753333,-173.8839333,"2007-09",2009,"9/29/2009",NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
45,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Forereef","Deep","PHR-00010","PHR-10","Haphazard",0,-1,NA,NA,26,26,NA,NA,27.906317,-175.9134,"2000",2000,"10/1/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
46,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Forereef","Deep","PHR-00011","PHR-11","Haphazard",0,-1,NA,NA,20,20,NA,NA,27.776933,-175.9876,"2000",2000,"10/1/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
47,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Forereef","Deep","PHR-00012","PHR-12","Haphazard",0,-1,NA,NA,20,20,NA,NA,27.755217,-175.942817,"2000",2000,"10/1/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
48,0,"TC0011",22,"NWHI","Kure","Kure","Forereef","Mid","KUR-00001","KUR-01","Haphazard",0,-1,NA,NA,14,14,NA,NA,28.444517,-178.296617,"2000",2000,"10/2/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
49,0,"TC0011",22,"NWHI","Kure","Kure","Forereef","Mid","KUR-00002","KUR-02","Haphazard",0,-1,NA,NA,10,14,NA,NA,28.453633,-178.344017,"2000",2000,"10/2/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
50,0,"TC0011",22,"NWHI","Kure","Kure","Forereef","Shallow","KUR-00003","KUR-03","Haphazard",0,-1,NA,NA,3,3,NA,NA,28.435417,-178.368283,"2000",2000,"10/2/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
51,0,"TC0011",22,"NWHI","Kure","Kure","Forereef","Mid","KUR-00004","KUR-04","Haphazard",0,-1,NA,NA,14,14,NA,NA,28.426683,-178.285933,"2000",2000,"10/3/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
52,0,"TC0011",22,"NWHI","Kure","Kure","Forereef","Mid","KUR-00005","KUR-05","Haphazard",0,-1,NA,NA,15,15,NA,NA,28.383183,-178.307017,"2000",2000,"10/3/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
53,0,"TC0011",22,"NWHI","Kure","Kure","Forereef","Mid","KUR-00006","KUR-06","Haphazard",0,-1,NA,NA,14,14,NA,NA,28.3867,-178.347767,"2000",2000,"10/3/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
54,0,"TC0011",22,"NWHI","Kure","Kure","Backreef","Shallow","KUR-00007","KUR-07","Haphazard",0,-1,NA,NA,2,2,NA,NA,28.448917,-178.307983,"2000",2000,"10/4/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
55,0,"TC0011",22,"NWHI","Kure","Kure","Lagoon","Shallow","KUR-00008","KUR-08","Haphazard",0,-1,NA,NA,3,3,NA,NA,28.435267,-178.34125,"2000",2000,"10/4/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
56,0,"TC0011",22,"NWHI","Kure","Kure","Lagoon","Shallow","KUR-00009","KUR-09","Haphazard",0,-1,NA,NA,3,5,NA,NA,28.405767,-178.342283,"2000",2000,"10/4/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
57,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Forereef","Deep","PHR-00013","PHR-13","Haphazard",0,-1,NA,NA,24,24,NA,NA,27.949167,-175.8501,"2000",2000,"10/5/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
58,0,"TC0011",22,"NWHI","Pearl & Hermes","Pearl & Hermes","Forereef","Deep","PHR-00014","PHR-14","Haphazard",0,-1,NA,NA,20,20,NA,NA,27.78045,-175.803433,"2000",2000,"10/5/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
59,0,"TC0101",18,"PRIAs","Howland","Howland","Forereef","Mid","HOW-00001","HOW-01","Haphazard",0,-1,NA,NA,15,15,NA,NA,0.797,-176.62178,"2001",2001,"2/7/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
60,0,"TC0101",18,"PRIAs","Howland","Howland","Forereef","Mid","HOW-00002","HOW-02","Haphazard",0,-1,NA,NA,14,14,NA,NA,0.8154,-176.62707,"2001",2001,"2/7/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
61,0,"TC0101",18,"PRIAs","Howland","Howland","Forereef","Mid","HOW-00003","HOW-03","Haphazard",0,-1,NA,NA,14,14,NA,NA,0.80875,-176.6244,"2001",2001,"2/7/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
62,0,"TC0101",18,"PRIAs","Howland","Howland","Forereef","Mid","HOW-00004","HOW-04","Haphazard",0,-1,NA,NA,17,17,NA,NA,0.79513,-176.62065,"2001",2001,"2/8/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
63,0,"TC0101",18,"PRIAs","Howland","Howland","Forereef","Mid","HOW-00005","HOW-05","Haphazard",0,-1,NA,NA,11,12,NA,NA,0.8042,-176.6215,"2001",2001,"2/8/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
64,0,"TC0101",18,"PRIAs","Howland","Howland","Forereef","Mid","HOW-00006","HOW-06","Haphazard",0,-1,NA,NA,14,14,NA,NA,0.79935,-176.6205,"2001",2001,"2/8/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
65,0,"TC0101",18,"PRIAs","Baker","Baker","Forereef","Shallow","BAK-00001","BAK-01","Haphazard",0,-1,NA,NA,6,6,NA,NA,0.19828,-176.4889,"2001",2001,"2/9/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
66,0,"TC0101",18,"PRIAs","Baker","Baker","Forereef","Mid","BAK-00002","BAK-02","Haphazard",0,-1,"OCC-BAK-008",NA,16,16,NA,NA,0.1883,-176.47988,"2001",2001,"2/9/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
67,0,"TC0101",18,"PRIAs","Baker","Baker","Forereef","Mid","BAK-00003","BAK-03","Haphazard",0,-1,NA,NA,11,11,NA,NA,0.1882,-176.48273,"2001",2001,"2/9/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
68,0,"TC0101",18,"PRIAs","Baker","Baker","Forereef","Mid","BAK-00004","BAK-04","Haphazard",0,-1,NA,NA,14,18,NA,NA,0.20593,-176.47943,"2001",2001,"2/10/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
69,0,"TC0101",18,"PRIAs","Baker","Baker","Forereef","Mid","BAK-00005","BAK-05","Haphazard",0,-1,NA,NA,9,14,NA,NA,0.197,-176.4862,"2001",2001,"2/10/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
70,0,"TC0101",18,"PRIAs","Baker","Baker","Forereef","Mid","BAK-00006","BAK-06","Haphazard",0,-1,NA,NA,11,11,NA,NA,0.18763,-176.47473,"2001",2001,"2/10/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
71,0,"TC0101",18,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00001","JAR-01","Haphazard",-1,-1,"OCC-JAR-003",NA,11,20,NA,NA,-0.36783,-159.97953,"2001",2001,"2/16/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
72,0,"TC0101",18,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00002","JAR-02","Haphazard",0,-1,NA,NA,12,12,NA,NA,-0.3813,-160.00823,"2001",2001,"2/17/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
73,0,"TC0101",18,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00003","JAR-03","Haphazard",0,-1,NA,NA,12,18,NA,NA,-0.361967,-160.000767,"2001",2001,"2/17/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
74,0,"TC0101",18,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00004","JAR-04","Haphazard",-1,-1,"OCC-JAR-008",NA,12,15,NA,NA,-0.3818,-159.9984,"2001",2001,"2/17/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
75,0,"TC0101",18,"PRIAs","Palmyra","Palmyra","Forereef","Mid","PAL-00001","PAL-01","Haphazard",0,-1,NA,NA,12,16,NA,NA,5.86778,-162.06893,"2001",2001,"2/19/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
76,0,"TC0101",18,"PRIAs","Palmyra","Palmyra","Forereef","Mid","PAL-00002","PAL-02","Haphazard",0,-1,NA,NA,12,20,NA,NA,5.88253,-162.1313,"2001",2001,"2/19/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
77,0,"TC0101",18,"PRIAs","Palmyra","Palmyra","Forereef","Deep","PAL-00003","PAL-03","Haphazard",0,-1,NA,NA,20,20,NA,NA,5.86967,-162.06872,"2001",2001,"2/20/2001",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
